id,product_variant_id,location_id,movement_type,quantity,reference_table,reference_id,employee_id,notes,occurred_at,created_at
1,1,1,purchase_in,107.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
2,1,2,purchase_in,85.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
3,1,3,purchase_in,57.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
4,1,4,purchase_in,46.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
5,1,5,purchase_in,86.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
6,2,1,purchase_in,123.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
7,2,2,purchase_in,144.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
8,2,3,purchase_in,68.510,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
9,2,4,purchase_in,49.720,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
10,2,5,purchase_in,68.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
11,2,6,purchase_in,104.200,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
12,3,1,purchase_in,53.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
13,3,2,purchase_in,91.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
14,3,3,purchase_in,85.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
15,3,4,purchase_in,164.650,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
16,3,5,purchase_in,28.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
17,3,6,purchase_in,27.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
18,4,1,purchase_in,64.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
19,4,2,purchase_in,56.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
20,4,3,purchase_in,78.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
21,4,4,purchase_in,87.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
22,4,5,purchase_in,83.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
23,4,6,purchase_in,96.000,,,,checar,2020-01-01 00:00:00,2020-01-01 00:00:00
24,5,1,purchase_in,81.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
25,5,2,purchase_in,135.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
26,5,3,purchase_in,144.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
27,5,4,purchase_in,111.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
28,5,5,purchase_in,82.200,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
29,5,6,purchase_in,89.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
30,6,1,purchase_in,67.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
31,6,2,purchase_in,70.000,,,,Opening balance — system migration,2020-01-01 00:00:00,2020-01-01 00:00:00
